Sample_year,Latitude,Longitude,Location,Sample_ID,Sample_depth,Bulk_dens_rep1,Bulk_dens_rep2,Bulk_dens_rep3,C_ton_ha,pH,Ca_MEQ_100g,Mg_MEQ_100g,K_MEQ_100g,Na_MEQ_100g,S_MEQ_100g,H_MEQ_100g,Al_MEQ_100g,C_perc,N_perc,OM_perc,P_ppm,K_ppm,Na_ppm,Sand_CoarsePart,Sand_FinePart,Silt,Tot_clay,SoilColor,SoilColorObs,LC_type,LC_age,LU_type,LULC_hist,Man_mec_ag,Num_burn,Fert_use
1992,9637017,344603,Altamira,A001-92,0-20,0.94,-9999,-9999,33.65,5,4.1,1.1,0.08,0.02,5.3,4.9,0.2,1.79,0.29,3.06,2,-9999,-9999,6,6,32,56,2.5YR 3/4,DARK REDDISH BROWN,SS 3,16,Experiment,1975-forest; 1976-cleared,Manual,-9999,-9999
1992,9637017,344603,Altamira,A001-92,20-40,1.13,-9999,-9999,22.14,5.2,1.7,1.2,0.03,0.02,2.95,2.9,0.1,0.98,0.22,1.69,1,-9999,-9999,6,6,25,63,2.5YR 3/4,DARK REDDISH BROWN,SS 3,16,Experiment,1975-forest; 1976-cleared,Manual,-9999,-9999
1992,9637017,344603,Altamira,A001-92,40-60,1.13,-9999,-9999,18.53,5.2,1.5,0.6,0.02,0.01,2.13,2.7,0,0.82,0.15,1.4,1,-9999,-9999,4,6,28,62,2.5YR 4/8,REDDISH BROWN,SS 3,16,Experiment,1975-forest; 1976-cleared,Manual,-9999,-9999
1992,9637017,344603,Altamira,A001-92,60-80,-9999,-9999,-9999,-9999,5.2,1.2,0.7,0.01,0.01,1.92,1.5,0,0.71,0.15,1.21,1,-9999,-9999,4,6,23,67,2.5YR 4/8,REDDISH BROWN,SS 3,16,Experiment,1975-forest; 1976-cleared,Manual,-9999,-9999
1992,9637017,344603,Altamira,A001-92,80-100,-9999,-9999,-9999,-9999,5.7,1,0.9,0.01,0.01,1.92,1.5,0,0.34,0.15,0.6,1,-9999,-9999,5,8,27,60,2.5YR 4/8,REDDISH BROWN,SS 3,16,Experiment,1975-forest; 1976-cleared,Manual,-9999,-9999
1993,9640176,364322,Altamira,A001-93,0-20,-9999,-9999,-9999,-9999,4.1,0.2,0.1,0.06,0.02,0.38,3.56,1.8,1.96,0.17,3.38,3,26,8,9,18,11,62,7.5YR 4/4,BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640176,364322,Altamira,A001-93,20-40,-9999,-9999,-9999,-9999,4.3,0.1,0,0.03,0.01,0.15,2.72,1.8,1.38,0.11,2.38,2,14,6,8,16,10,66,7.5YR 4/4,"BROWN, W/ CHARCOAL AND ROCKS",SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640176,364322,Altamira,A001-93,40-60,-9999,-9999,-9999,-9999,4.5,0.1,0,0.02,0.01,0.13,2.08,1.4,0.94,0.09,1.63,1,10,4,7,18,11,64,7.5YR 4/4,BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640176,364322,Altamira,A001-93,60-80,-9999,-9999,-9999,-9999,4.5,0.1,0,0.01,0.01,0.13,1.58,1.4,0.69,0.07,1.19,1,7,5,6,15,9,70,5YR 3/6,DARK REDDISH BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640176,364322,Altamira,A001-93,80-100,-9999,-9999,-9999,-9999,4.5,0.2,0.1,0.01,0.01,0.31,1.58,1.4,0.65,0.07,1.13,1,4,2,6,15,11,68,5YR 3/4,DARK REDDISH BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640120,364378,Altamira,A002-93,0-20,-9999,-9999,-9999,-9999,3.7,0.2,0.1,0.07,0.01,0.38,5.54,2.2,2.76,0.2,4.75,1,29,6,9,17,12,62,7.5YR 3/4,DARK BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640120,364378,Altamira,A002-93,20-40,-9999,-9999,-9999,-9999,4,0.2,0.1,0.01,0.01,0.32,2.9,2,1.38,0.12,2.38,1,7,3,8,15,11,66,5YR 3/4,DARK REDDISH BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640120,364378,Altamira,A002-93,40-60,-9999,-9999,-9999,-9999,4.1,0.3,0,0.01,0.01,0.31,1.73,1.6,0.76,0.07,1.31,1,4,2,6,13,9,72,5YR 4/6,REDDISH BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640120,364378,Altamira,A002-93,60-80,-9999,-9999,-9999,-9999,4.3,0.2,0.1,0.01,0.01,0.31,1.05,1.8,0.76,0.07,1.31,1,3,2,6,12,10,72,5YR 4/6,REDDISH BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1993,9640120,364378,Altamira,A002-93,80-100,-9999,-9999,-9999,-9999,4.4,0.2,0,0.01,0.01,0.21,1.76,1.5,0.69,0.07,1.19,1,4,2,6,12,8,74,5YR 3/6,REDDISH BROWN,SS 3,16,Swidden agriculture,"1975-forest; 1976-cleared,crop",Manual,1,no
1992,-9999,-9999,Altamira,A003-92,0-20,-9999,-9999,-9999,-9999,4.6,0.8,0.5,0.17,0.03,1.5,6.9,5.7,2.14,0.29,3.67,2,-9999,-9999,6,7,22,65,10YR 4/4,"BROWN, SAND W/ HEAVY CLAY, BLOCKY STRUCTURE",,,,,,,
1993,9637925,348045,Altamira,A003-93,0-20,-9999,-9999,-9999,-9999,4.1,0.2,0.2,0.1,0.02,0.52,2.44,1,1.42,0.14,2.44,2,41,8,16,12,10,62,2.5YR 4/6,REDDISH BROWN,Liana forest,-9999,Logging,Selective logging,-9999,-9999,-9999
1993,9637925,348045,Altamira,A003-93,20-40,-9999,-9999,-9999,-9999,4.5,0.1,0.1,0.04,0.01,0.25,1.12,0.9,0.69,0.09,1.19,1,16,6,9,8,9,74,2.5YR 4/8,REDDISH BROWN,Liana forest,-9999,Logging,Selective logging,-9999,-9999,-9999
1993,9637925,348045,Altamira,A003-93,40-60,-9999,-9999,-9999,-9999,4.6,0.1,0.1,0.01,0.01,0.22,1.12,0.6,0.62,0.08,1.06,1,6,2,7,7,8,78,2.5YR 4/8,REDDISH BROWN,Liana forest,-9999,Logging,Selective logging,-9999,-9999,-9999
1993,9637925,348045,Altamira,A003-93,60-80,-9999,-9999,-9999,-9999,5,0.2,0.1,0.01,0.01,0.31,1.12,0.4,0.51,0.06,0.88,2,4,2,7,7,10,76,2.5YR 4/8,REDDISH BROWN,Liana forest,-9999,Logging,Selective logging,-9999,-9999,-9999
1993,9637925,348045,Altamira,A003-93,80-100,-9999,-9999,-9999,-9999,5,0.2,0.1,0.01,0.01,0.32,0.96,0.4,0.4,0.05,0.69,2,6,2,7,6,11,76,2.5YR 4/8,REDDISH BROWN,Liana forest,-9999,Logging,Selective logging,-9999,-9999,-9999
1992,-9999,-9999,Altamira,A004-92,0-20,1.02,-9999,-9999,42.43,4.6,0.7,0.4,0.32,0.04,1.46,8.2,5.9,2.08,0.29,3.55,5,-9999,-9999,2,3,24,71,10YR 4/4,"BROWN, LOTS OF FINE ROOTS",,,,,,,
1992,-9999,-9999,Altamira,A004-92,20-40,1.03,-9999,-9999,44.08,4.8,0.7,0.2,0.19,0.04,1.13,6.6,7.2,2.14,0.29,3.66,3,-9999,-9999,2,2,25,71,10YR 4/4,"BROWN, HEAVY STICKS, CLAY",,,,,,,
1992,-9999,-9999,Altamira,A004-92,40-60,1.14,-9999,-9999,21.43,4.8,0.5,0.2,0.09,0.04,0.83,3.5,8.5,0.94,0.22,1.6,6,-9999,-9999,2,2,25,76,7.5YR 4/2,"HEAVY STICKS, CLAY W/ REDDISH MOTTLING",,,,,,,
1992,-9999,-9999,Altamira,A004-92,60-80,-9999,-9999,-9999,-9999,4.9,0.3,0.2,0.06,0.04,0.6,3.2,8.5,1.39,0.22,2.38,2,-9999,-9999,2,2,20,76,7.5YR 5/3,GRAYER W/ REDDISH MOTTLING,,,,,,,
1992,-9999,-9999,Altamira,A004-92,80-100,-9999,-9999,-9999,-9999,4.9,0.3,0.2,0.06,0.04,0.6,3.6,8.1,0.96,0.22,1.65,1,-9999,-9999,0,2,22,79,7.5YR 5/2,"""""GRAYER,?W/REDDISHMOTTLING""""",,,,,,,
1993,9656979,347816,Altamira,A004-93,0-20,-9999,-9999,-9999,-9999,5.1,1.8,0.9,0.09,0.01,2.8,1.47,0.3,1.38,0.15,2.38,3,36,7,14,18,12,56,10R 3/4,DARK RED,SS 1,3,Swidden agriculture/pasture,1987-forest; 1988-crop. 1989-pasture; 1990-fallow,-9999,-9999,-9999
1993,9656979,347816,Altamira,A004-93,20-40,-9999,-9999,-9999,-9999,5.3,0.6,0.5,0.03,0.01,1.14,0.62,0.3,0.69,0.07,1.19,2,14,4,9,13,12,66,10R 3/4,DARK RED,SS 1,3,Swidden agriculture/pasture,1987-forest; 1988-crop. 1989-pasture; 1990-fallow,-9999,-9999,-9999
1993,9656979,347816,Altamira,A004-93,40-60,-9999,-9999,-9999,-9999,5.2,0.4,0.3,0.01,0.01,0.72,0.63,0.3,0.54,0.05,0.94,1,7,3,7,10,13,70,10R 4/6,RED,SS 1,3,Swidden agriculture/pasture,1987-forest; 1988-crop. 1989-pasture; 1990-fallow,-9999,-9999,-9999
1993,9656979,347816,Altamira,A004-93,60-80,-9999,-9999,-9999,-9999,5.3,0.3,0.2,0.01,0.01,0.52,0.46,0.4,0.36,0.04,0.63,1,6,2,7,10,13,70,2.5YR 3/6,DARK REDDISH BROWN,SS 1,3,Swidden agriculture/pasture,1987-forest; 1988-crop. 1989-pasture; 1990-fallow,-9999,-9999,-9999
1993,9656979,347816,Altamira,A004-93,80-100,-9999,-9999,-9999,-9999,5.3,0.3,0.3,0.01,0.01,0.62,0.63,0.5,0.25,0.03,0.44,2,6,2,7,10,13,70,2.5YR 3/6,DARK REDDISH BROWN,SS 1,3,Swidden agriculture/pasture,1987-forest; 1988-crop. 1989-pasture; 1990-fallow,-9999,-9999,-9999
1992,-9999,-9999,Altamira,A005-92,0-20,1.13,-9999,-9999,14.46,5.5,6.2,1.3,0.11,0.02,7.63,2.7,0,0.64,0.29,1.11,1,-9999,-9999,5,13,42,40,2.5YR 3/4,DARK REDDISH BROWN,,,,,,,
