"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","19","79.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/02/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/03/2021","AQS","010730023","2","0.5","ppm","6","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/04/2021","AQS","010730023","2","0.6","ppm","7","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/05/2021","AQS","010730023","2","0.4","ppm","5","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/06/2021","AQS","010730023","2","0.5","ppm","6","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/07/2021","AQS","010730023","2","0.3","ppm","3","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/08/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/09/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/10/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/11/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/12/2021","AQS","010730023","2","0.6","ppm","7","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/13/2021","AQS","010730023","2","0.7","ppm","8","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/14/2021","AQS","010730023","2","0.8","ppm","9","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/15/2021","AQS","010730023","2","0.3","ppm","3","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/16/2021","AQS","010730023","2","0.4","ppm","5","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/17/2021","AQS","010730023","2","0.5","ppm","6","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/18/2021","AQS","010730023","2","0.6","ppm","7","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/19/2021","AQS","010730023","2","0.8","ppm","9","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/20/2021","AQS","010730023","2","0.4","ppm","5","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/21/2021","AQS","010730023","2","0.5","ppm","6","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/22/2021","AQS","010730023","2","0.4","ppm","5","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/23/2021","AQS","010730023","2","0.4","ppm","5","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/24/2021","AQS","010730023","2","0.3","ppm","3","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/25/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","17","71.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/26/2021","AQS","010730023","2","0.4","ppm","5","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/27/2021","AQS","010730023","2","0.5","ppm","6","North Birmingham","18","75.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/28/2021","AQS","010730023","2","0.2","ppm","2","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/29/2021","AQS","010730023","2","0.5","ppm","6","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/30/2021","AQS","010730023","2","0.6","ppm","7","North Birmingham","24","100.0000","42101","Carbon monoxide","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
